GENESIS-Tabelle: 12411-0010
Bevölkerung: Bundesländer, Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
Nordrhein-Westfalen;15459265;15653613;15852476;16028919;16194670;16361108;16554312;16735736;16835480;16842619;16950515;17129764;17004851;17137752;17192897;17245530;17217780;17129615;17073192;17030341;17006354;17017075;17058193;17045993;16961183;16836519;16703875;16674051;16676501;16743956;16874059;17103588;17349651;17509866;17679166;17759300;17816079;17893045;17947715;17974487;17975516;17999800;18009865;18052092;18076355;18079686;18075352;18058105;18028745;17996621;17933064;17872763;17845154;17544938;17554329;17571856;17638098;17865516;17890100;17912134;17932651
Rheinland-Pfalz;3354672;3377365;3411170;3438528;3474464;3509511;3545448;3581993;3612668;3625428;3644511;3671275;3658932;3678519;3690372;3700787;3688066;3665777;3649001;3639291;3630947;3633195;3642482;3641229;3636506;3633488;3623985;3615049;3611437;3634557;3653155;3701661;3763510;3821235;3880965;3925863;3951573;3977919;4000567;4017828;4024969;4030773;4034557;4049066;4057727;4058682;4061105;4058843;4052860;4045643;4028351;4012675;4003745;3990033;3990278;3994366;4011582;4052803;4066053;4073679;4084844
Saarland;1040146;1040108;1060493;1083012;1096584;1106157;1117222;1127354;1132127;1131301;1128902;1127352;1121300;1121990;1118569;1111878;1103255;1096333;1088961;1081074;1072953;1068555;1066299;1063033;1057543;1052794;1050837;1045936;1042135;1054064;1054142;1064906;1072963;1076879;1084007;1084522;1084201;1084370;1084184;1080790;1074223;1071501;1068703;1066470;1064988;1061376;1056417;1050293;1043167;1036598;1030324;1022585;1017567;997855;994287;990718;989035;995597;996651;994187;990509
Sachsen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4764301;4678877;4640997;4607660;4584345;4566603;4545702;4522412;4489415;4459686;4425581;4384192;4349059;4321437;4296284;4273754;4249774;4220200;4192801;4168732;4149477;4054182;4050204;4046385;4055274;4084851;4081783;4081308;4077937
Sachsen-Anhalt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2873957;2823324;2796981;2777935;2759213;2738928;2723620;2701690;2674490;2648737;2615375;2580626;2548911;2522941;2494437;2469716;2441787;2412472;2381872;2356219;2335006;2276736;2259393;2244577;2235548;2245470;2236252;2223081;2208321
Schleswig-Holstein;2275802;2289894;2309409;2329247;2351315;2375783;2405547;2438829;2472526;2499730;2528733;2557245;2510608;2543236;2563775;2579598;2584343;2582412;2582718;2587183;2591285;2599004;2611285;2619186;2618156;2616598;2613796;2614151;2612672;2555278;2564565;2594606;2626127;2648532;2679575;2694875;2708392;2725461;2742293;2756473;2766057;2777275;2789761;2804249;2816507;2823171;2828760;2832950;2834254;2837373;2834260;2832027;2834259;2802266;2806531;2815955;2830864;2858714;2881926;2889821;2896712
Thüringen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2611319;2572069;2545808;2532799;2517776;2503785;2491119;2478148;2462836;2449082;2431255;2411387;2392040;2373157;2355280;2334575;2311140;2289219;2267763;2249882;2235025;2181603;2170460;2160840;2156759;2170714;2158128;2151205;2143145
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2020
Stand: 24.02.2020 / 00:00:36
