GENESIS-Tabelle: 11111-0002
Gebietsfläche: Kreise, Stichtag;;;;;;;;;;;;;;;;;;;;;;;
Feststellung des Gebietsstands;;;;;;;;;;;;;;;;;;;;;;;
Gebietsfläche (qkm);;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
03155;Northeim, Landkreis;1266,64;1266,73;1266,68;1266,73;1266,62;1266,94;1266,76;1267,31;1266,76;1266,87;1267,00;1267,06;1267,07;1267,06;1267,04;1267,06;1267,06;1267,06;1267,06;1267,07;1267,08;1268,77
03156;Osterode am Harz, Landkreis (bis 31.10.2016);636,11;636,11;636,11;636,11;636,11;636,11;636,10;635,99;635,99;635,99;635,99;635,99;636,00;636,00;636,00;636,01;636,01;636,01;636,02;636,02;636,02;-
03157;Peine, Landkreis;534,43;534,42;534,44;534,45;534,53;534,53;534,53;534,54;534,75;534,73;534,73;534,86;534,86;534,86;534,85;534,87;534,93;534,93;534,93;534,95;534,97;536,50
03158;Wolfenbüttel, Landkreis;722,15;722,19;722,18;722,31;722,31;722,32;722,33;722,33;722,35;722,40;722,48;722,50;722,46;722,47;722,74;722,54;722,54;722,55;722,55;722,56;722,56;724,30
03159;Göttingen, Landkreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1755,55
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);204,08;204,07;204,07;204,07;204,08;204,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03241;Region Hannover, Landkreis;-;-;-;-;-;-;2290,28;2290,49;2290,43;2290,53;2290,50;2290,63;2290,64;2290,64;2290,65;2290,66;2290,75;2290,76;2290,77;2290,79;2290,86;2297,14
03251;Diepholz, Landkreis;1987,38;1987,38;1987,38;1987,46;1987,46;1987,56;1987,55;1987,60;1987,62;1987,59;1987,60;1987,66;1987,69;1987,71;1987,83;1987,92;1987,93;1987,93;1987,94;1988,05;1988,14;1990,99
03252;Hameln-Pyrmont, Landkreis;796,15;796,14;796,13;796,13;796,13;796,12;796,12;796,14;796,15;796,16;796,18;796,18;796,17;796,20;796,15;796,14;796,14;796,14;796,14;796,14;796,15;797,54
03253;Hannover, Landkreis (bis 31.10.2001);2085,90;2085,92;2085,98;2086,09;2086,10;2086,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03254;Hildesheim, Landkreis;1205,33;1205,33;1205,39;1205,24;1205,39;1205,52;1205,71;1205,73;1205,73;1205,74;1205,80;1205,76;1205,76;1205,77;1205,78;1205,88;1205,94;1205,94;1205,95;1206,01;1206,03;1208,33
03255;Holzminden, Landkreis;692,44;692,45;692,46;692,46;692,46;692,46;692,47;692,47;692,47;692,47;692,48;692,49;692,50;692,50;692,58;692,58;692,58;692,58;692,58;692,59;692,65;694,24
03256;Nienburg (Weser), Landkreis;1398,65;1398,67;1398,69;1398,71;1398,78;1398,79;1398,87;1398,88;1398,88;1398,88;1398,90;1398,91;1398,95;1398,95;1398,97;1398,97;1398,97;1398,96;1398,97;1398,97;1398,97;1400,80
03257;Schaumburg, Landkreis;675,57;675,57;675,52;675,56;675,56;675,56;675,55;675,54;675,54;675,54;675,59;675,59;675,59;675,58;675,57;675,57;675,57;675,57;675,57;675,57;675,57;675,68
03351;Celle, Landkreis;1544,84;1544,87;1544,88;1544,32;1544,92;1544,95;1544,98;1544,99;1545,00;1545,01;1545,00;1545,05;1545,08;1545,10;1545,11;1545,13;1545,17;1545,18;1545,18;1545,19;1545,21;1550,82
03352;Cuxhaven, Landkreis;2072,46;2072,52;2072,53;2072,52;2072,51;2072,50;2072,50;2072,52;2072,53;2072,55;2072,60;2072,57;2072,56;2072,55;2072,55;2057,76;2057,76;2057,76;2057,78;2057,77;2057,78;2058,97
03353;Harburg, Landkreis;1244,50;1244,52;1244,54;1244,50;1244,51;1244,50;1244,51;1244,52;1244,57;1244,60;1244,60;1244,68;1244,69;1244,83;1244,92;1244,92;1244,94;1244,96;1244,97;1245,00;1245,03;1248,57
03354;Lüchow-Dannenberg, Landkreis;1219,58;1219,56;1219,76;1219,81;1219,80;1219,81;1219,83;1219,82;1220,29;1220,42;1220,50;1220,45;1220,49;1220,50;1220,55;1220,57;1220,60;1220,63;1220,65;1220,70;1220,75;1227,22
03355;Lüneburg, Landkreis;1321,94;1322,18;1322,30;1322,28;1322,52;1322,54;1322,56;1323,10;1323,11;1323,16;1323,40;1323,35;1323,35;1323,42;1323,46;1323,47;1323,49;1323,50;1323,50;1323,63;1323,68;1327,67
03356;Osterholz, Landkreis;650,67;650,67;650,67;650,67;650,68;650,69;650,68;650,70;650,74;650,73;650,73;650,73;650,74;650,77;650,75;650,77;650,78;650,79;650,80;650,80;650,81;652,67
03357;Rotenburg (Wümme), Landkreis;2069,82;2069,84;2069,81;2069,88;2069,91;2069,95;2069,96;2069,95;2069,95;2070,02;2070,00;2070,08;2070,11;2070,11;2070,11;2070,13;2070,26;2070,26;2070,30;2070,37;2070,45;2074,78
03358;Heidekreis;1873,32;1873,35;1873,36;1873,37;1873,37;1873,47;1873,47;1873,45;1873,43;1873,45;1873,50;1873,49;1873,52;1873,53;1873,55;1873,63;1873,65;1873,66;1873,67;1873,70;1873,72;1881,41
03359;Stade, Landkreis;1265,97;1265,95;1265,95;1265,96;1265,97;1265,97;1265,98;1265,97;1265,97;1265,98;1266,00;1265,99;1266,01;1266,01;1266,02;1266,01;1266,02;1266,01;1266,02;1266,02;1266,02;1267,38
03360;Uelzen, Landkreis;1453,54;1453,58;1453,66;1453,73;1453,75;1453,79;1453,79;1453,83;1453,84;1453,84;1453,90;1453,88;1453,98;1454,06;1454,08;1454,10;1454,12;1454,13;1454,14;1454,17;1454,22;1462,59
03361;Verden, Landkreis;787,75;787,67;787,68;787,70;787,70;787,70;787,70;787,70;787,70;787,70;787,69;787,70;787,77;787,77;787,95;787,93;787,93;787,95;787,95;787,95;787,97;789,39
03401;Delmenhorst, kreisfreie Stadt;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,36;62,45
03402;Emden, kreisfreie Stadt;112,52;112,52;112,42;112,42;112,43;112,43;112,38;112,38;112,38;112,38;112,33;112,35;112,35;112,35;112,35;112,35;112,35;112,35;112,36;112,36;112,36;112,34
03403;Oldenburg (Oldenburg), kreisfreie Stadt;102,97;102,97;102,96;102,96;102,96;102,96;102,96;102,96;102,96;102,96;102,96;102,97;102,97;102,97;102,97;102,98;102,98;102,99;102,99;102,99;102,99;103,09
03404;Osnabrück, kreisfreie Stadt;119,80;119,79;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80;119,80
03405;Wilhelmshaven, kreisfreie Stadt;103,37;103,37;103,38;103,38;103,37;103,37;103,37;103,51;103,51;103,51;106,91;106,91;106,91;106,91;106,91;106,91;106,91;106,91;106,91;106,91;106,91;107,07
03451;Ammerland, Landkreis;728,16;728,20;728,20;728,20;728,21;728,23;728,23;728,23;728,23;728,33;728,33;728,35;728,35;728,35;728,34;728,35;728,35;728,35;728,36;728,37;728,38;730,57
03452;Aurich, Landkreis;1287,26;1287,26;1287,26;1287,27;1287,28;1287,30;1287,29;1287,29;1287,28;1287,26;1287,20;1287,31;1287,31;1287,31;1287,31;1287,31;1287,31;1287,31;1287,31;1287,31;1287,31;1287,36
03453;Cloppenburg, Landkreis;1417,59;1417,65;1417,93;1417,93;1418,54;1418,11;1418,13;1418,13;1418,14;1418,17;1418,20;1418,27;1418,28;1418,28;1418,31;1418,34;1418,38;1418,38;1418,40;1418,43;1418,45;1420,42
03454;Emsland, Landkreis;2879,33;2880,80;2881,02;2881,15;2880,83;2881,16;2881,22;2881,25;2881,23;2881,40;2881,40;2881,40;2881,44;2881,80;2881,84;2881,98;2882,02;2882,02;2882,04;2882,05;2882,07;2883,67
03455;Friesland, Landkreis;607,65;607,66;607,69;607,69;606,79;607,73;607,74;607,74;607,41;607,78;607,85;607,87;607,89;607,89;607,90;607,90;607,90;607,90;607,90;607,91;607,91;609,53
03456;Grafschaft Bentheim, Landkreis;980,83;980,83;980,74;980,74;980,72;980,73;980,73;980,73;980,75;980,75;980,75;996,84;980,77;980,78;980,80;980,81;980,85;980,86;980,86;980,87;980,87;981,79
03457;Leer, Landkreis;1085,79;1085,80;1085,80;1085,75;1085,76;1085,76;1085,77;1085,61;1085,77;1085,81;1086,10;1086,03;1086,03;1086,04;1086,01;1086,01;1086,01;1086,01;1086,02;1086,01;1086,01;1085,72
03458;Oldenburg, Landkreis;1062,89;1062,90;1062,92;1062,91;1062,92;1062,93;1062,93;1062,93;1062,95;1063,05;1063,10;1063,06;1063,06;1063,06;1063,08;1063,09;1063,10;1063,10;1063,12;1063,14;1063,16;1064,84
03459;Osnabrück, Landkreis;2121,55;2121,50;2121,51;2121,49;2121,53;2121,55;2121,56;2121,54;2121,56;2121,57;2121,60;2121,63;2121,59;2121,59;2121,57;2121,56;2121,57;2121,57;2121,59;2121,60;2121,63;2121,81
03460;Vechta, Landkreis;812,50;812,49;812,50;812,52;812,52;812,52;812,52;812,52;812,53;812,52;812,54;812,54;812,64;812,65;820,47;812,55;812,58;812,59;812,59;812,62;812,63;814,20
03461;Wesermarsch, Landkreis;822,05;822,02;822,03;822,03;821,96;821,96;821,86;821,87;821,89;821,90;821,92;821,92;821,92;821,91;821,90;821,90;821,89;821,90;821,90;821,90;822,01;824,78
03462;Wittmund, Landkreis;656,62;656,62;656,62;656,63;656,67;656,64;656,64;656,64;656,63;656,65;656,68;656,68;656,65;656,65;656,66;656,66;656,66;656,66;656,66;656,64;656,64;656,86
04011;Bremen, kreisfreie Stadt;326,55;326,55;326,55;326,55;326,55;326,55;326,55;325,42;326,55;326,55;325,42;325,42;325,42;325,42;325,42;325,42;325,42;325,56;325,56;325,56;326,18;326,18
04012;Bremerhaven, kreisfreie Stadt;77,68;77,68;77,68;77,68;77,68;77,68;77,68;78,86;77,68;77,68;78,86;78,86;78,86;78,86;78,86;93,82;93,82;93,82;93,82;93,82;93,66;93,66
05111;Düsseldorf, kreisfreie Stadt;216,99;216,99;217,00;216,99;217,00;217,00;217,00;217,00;217,00;217,01;217,01;217,01;217,02;217,21;217,22;217,22;217,41;217,41;217,41;217,41;217,41;217,41
05112;Duisburg, kreisfreie Stadt;232,82;232,82;232,82;232,82;232,82;232,82;232,82;232,81;232,81;232,81;232,81;232,81;232,81;232,81;232,81;232,83;232,83;232,80;232,80;232,80;232,80;232,80
05113;Essen, kreisfreie Stadt;210,35;210,35;210,36;210,36;210,36;210,36;210,36;210,37;210,37;210,38;210,38;210,37;210,31;210,31;210,31;210,32;210,34;210,30;210,34;210,34;210,34;210,34
05114;Krefeld, kreisfreie Stadt;137,55;137,54;137,52;137,68;137,67;137,67;137,73;137,74;137,74;137,75;137,76;137,76;137,76;137,75;137,75;137,75;137,75;137,75;137,78;137,78;137,77;137,77
05116;Mönchengladbach, kreisfreie Stadt;170,44;170,44;170,44;170,44;170,44;170,44;170,44;170,44;170,44;170,44;170,45;170,44;170,45;170,44;170,45;170,45;170,45;170,45;170,45;170,47;170,47;170,47
05117;Mülheim an der Ruhr, kreisfreie Stadt;91,27;91,27;91,27;91,28;91,29;91,29;91,25;91,26;91,29;91,29;91,29;91,29;91,29;91,29;91,29;91,29;91,28;91,28;91,28;91,28;91,28;91,28
05119;Oberhausen, kreisfreie Stadt;77,04;77,04;77,04;77,04;77,04;77,03;77,03;77,04;77,04;77,04;77,04;77,04;77,11;77,11;77,11;77,11;77,10;77,10;77,10;77,10;77,09;77,09
05120;Remscheid, kreisfreie Stadt;74,60;74,61;74,61;74,61;74,61;74,61;74,61;74,60;74,60;74,60;74,60;74,60;74,60;74,60;74,60;74,60;74,60;74,52;74,52;74,52;74,52;74,52
05122;Solingen, kreisfreie Stadt;89,45;89,45;89,45;89,45;89,45;89,45;89,45;89,46;89,46;89,47;89,46;89,49;89,49;89,49;89,48;89,54;89,54;89,55;89,54;89,54;89,54;89,54
05124;Wuppertal, kreisfreie Stadt;168,37;168,37;168,37;168,38;168,36;168,38;168,37;168,37;168,38;168,37;168,39;168,39;168,39;168,39;168,38;168,39;168,39;168,39;168,39;168,39;168,39;168,39
05154;Kleve, Landkreis;1231,44;1231,49;1231,94;1231,95;1232,15;1232,19;1232,20;1232,18;1232,05;1232,10;1232,10;1232,11;1232,13;1232,15;1232,14;1232,15;1232,10;1232,99;1232,99;1232,99;1232,99;1232,99
05158;Mettmann, Landkreis;407,09;407,09;407,09;407,09;407,09;407,09;407,09;407,08;407,09;407,09;407,09;407,09;407,10;407,10;407,10;407,10;407,10;407,22;407,22;407,22;407,22;407,22
05162;Rhein-Kreis Neuss;576,20;576,22;576,27;576,42;576,43;576,43;576,46;576,46;576,44;576,44;576,33;576,34;576,47;576,53;576,52;576,52;576,52;576,52;576,52;576,52;576,52;576,42
05166;Viersen, Landkreis;563,26;563,27;563,27;563,29;563,29;563,29;563,23;563,22;563,24;563,22;563,26;563,26;563,26;563,27;563,25;563,25;563,26;563,26;563,28;563,28;563,28;563,28
05170;Wesel, Landkreis;1042,33;1042,35;1042,37;1042,37;1042,40;1042,38;1042,39;1042,39;1042,45;1042,51;1042,50;1042,44;1042,44;1042,47;1042,47;1042,46;1042,46;1042,80;1042,80;1042,80;1042,80;1042,80
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);160,82;160,82;160,82;160,83;160,83;160,83;160,83;160,83;160,83;160,83;160,83;160,82;160,83;160,83;-;-;-;-;-;-;-;-
05314;Bonn, kreisfreie Stadt;141,23;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,22;141,09;141,06;141,06;141,06;141,06
05315;Köln, kreisfreie Stadt;405,14;405,14;405,15;405,15;405,15;405,15;405,15;405,15;405,15;405,15;405,15;405,16;405,16;405,16;405,17;405,17;405,17;405,16;405,01;405,02;405,02;405,02
05316;Leverkusen, kreisfreie Stadt;78,86;78,86;78,85;78,85;78,86;78,86;78,85;78,86;78,86;78,85;78,85;78,85;78,85;78,85;78,87;78,87;78,87;78,87;78,87;78,87;78,87;78,87
05334;Städteregion Aachen, Landkreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;707,16;707,08;707,12;707,10;706,95;706,95;706,95;706,83
05354;Aachen, Landkreis (bis 20.10.2009);546,56;546,56;546,05;546,17;546,15;547,01;546,93;546,95;546,96;546,32;546,32;546,33;546,33;546,32;-;-;-;-;-;-;-;-
05358;Düren, Landkreis;941,17;941,17;941,58;941,53;941,15;940,59;940,49;940,56;940,57;941,38;941,39;941,39;941,39;941,39;941,36;941,41;941,39;941,39;941,37;941,37;941,37;941,77
05362;Rhein-Erft-Kreis;704,83;704,82;704,82;704,52;704,52;704,45;704,45;704,43;704,43;704,43;704,54;704,55;704,54;704,54;704,60;704,60;704,62;704,62;704,62;704,62;704,71;704,71
05366;Euskirchen, Landkreis;1249,05;1249,05;1249,05;1249,11;1249,11;1249,01;1249,09;1249,01;1249,00;1248,86;1248,90;1248,85;1248,85;1248,86;1248,86;1248,71;1248,73;1248,73;1248,73;1248,73;1248,73;1248,73
05370;Heinsberg, Landkreis;627,89;627,98;627,98;627,98;627,98;627,97;627,98;627,99;627,99;627,99;628,01;628,01;628,01;628,01;628,00;627,98;627,98;627,99;627,99;627,99;627,99;627,99
05374;Oberbergischer Kreis;918,13;918,14;918,14;918,13;918,16;918,20;918,20;918,53;918,52;918,57;918,57;918,56;918,53;918,56;918,56;918,56;918,85;918,85;918,85;918,84;918,84;918,85
05378;Rheinisch-Bergischer Kreis;437,66;437,63;437,64;437,64;437,60;437,60;437,59;437,59;437,60;437,55;437,55;437,55;437,51;437,49;437,53;437,49;437,32;437,32;437,32;437,32;437,32;437,32
05382;Rhein-Sieg-Kreis;1153,46;1153,40;1153,40;1153,38;1153,40;1153,51;1153,71;1153,59;1153,49;1153,36;1153,30;1153,32;1153,43;1153,37;1153,29;1153,28;1153,21;1153,20;1153,20;1153,21;1153,21;1153,21
05512;Bottrop, kreisfreie Stadt;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,61;100,62;100,61;100,61;100,61;100,61;100,61
05513;Gelsenkirchen, kreisfreie Stadt;104,84;104,84;104,84;104,84;104,84;104,84;104,84;104,85;104,86;104,86;104,86;104,86;104,85;104,86;104,86;104,94;104,94;104,94;104,94;104,94;104,94;104,94
05515;Münster, kreisfreie Stadt;302,79;302,81;302,82;302,84;302,84;302,84;302,83;302,87;302,89;302,91;302,89;302,91;302,92;302,93;302,96;302,96;302,95;302,96;303,28;303,28;303,28;303,28
05554;Borken, Landkreis;1417,83;1418,30;1418,29;1418,46;1418,47;1418,48;1418,61;1418,80;1418,78;1418,78;1418,80;1419,21;1419,13;1419,35;1419,36;1419,67;1419,66;1420,98;1420,98;1420,98;1420,98;1420,98
05558;Coesfeld, Landkreis;1109,80;1109,79;1109,81;1109,88;1109,89;1109,94;1110,00;1110,09;1110,10;1110,18;1110,20;1110,21;1110,30;1110,38;1110,40;1112,05;1112,03;1112,04;1112,04;1112,04;1112,04;1112,05
05562;Recklinghausen, Landkreis;760,23;760,25;760,25;760,27;760,31;760,31;760,33;760,34;760,36;760,36;760,36;760,39;760,39;760,40;760,41;760,42;760,44;760,45;760,45;760,45;761,31;761,31
05566;Steinfurt, Landkreis;1791,79;1791,95;1791,95;1791,94;1791,97;1791,98;1792,10;1792,35;1792,45;1792,43;1792,60;1792,55;1792,57;1792,62;1792,74;1792,96;1792,98;1795,76;1795,76;1795,76;1795,76;1795,76
05570;Warendorf, Landkreis;1315,62;1315,76;1316,35;1316,39;1316,71;1317,05;1317,02;1317,05;1317,32;1317,37;1317,40;1317,46;1317,70;1317,73;1317,81;1317,81;1317,81;1319,41;1319,41;1319,41;1319,41;1319,42
05711;Bielefeld, kreisfreie Stadt;257,69;257,69;257,69;257,71;257,73;257,75;257,78;257,78;257,80;257,83;257,85;257,88;257,91;257,91;257,91;257,92;257,93;258,82;258,82;258,82;258,82;258,82
05754;Gütersloh, Landkreis;967,15;967,16;967,15;967,15;967,17;967,17;967,18;967,18;967,19;967,20;967,13;968,00;968,03;968,09;968,08;968,15;968,21;969,21;969,21;969,21;969,21;969,21
05758;Herford, Landkreis;449,94;449,95;449,95;449,95;449,96;449,97;449,99;449,99;450,03;450,04;450,06;450,07;450,06;450,06;450,09;450,10;450,41;450,41;450,41;450,41;450,41;450,41
