GENESIS-Tabelle: 11111-0002
Gebietsfläche: Kreise, Stichtag;;;;;;;;;;;;;;;;;;;;;;;
Feststellung des Gebietsstands;;;;;;;;;;;;;;;;;;;;;;;
Gebietsfläche (qkm);;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
05762;Höxter, Landkreis;1199,64;1199,64;1199,64;1199,64;1199,84;1199,83;1199,76;1199,96;1199,96;1199,97;1200,00;1199,97;1199,97;1199,97;1199,99;1199,99;1201,42;1201,42;1201,42;1201,42;1201,42;1201,42
05766;Lippe, Landkreis;1246,38;1246,38;1246,19;1246,34;1246,38;1246,38;1246,40;1246,34;1246,35;1246,36;1247,10;1246,42;1246,29;1246,29;1246,21;1246,21;1246,21;1246,21;1246,21;1246,21;1246,21;1246,22
05770;Minden-Lübbecke, Landkreis;1152,15;1152,23;1152,33;1152,14;1152,04;1152,06;1152,11;1151,95;1151,97;1152,34;1152,20;1152,21;1152,21;1152,22;1152,22;1152,21;1152,22;1152,41;1152,41;1152,41;1152,41;1152,41
05774;Paderborn, Landkreis;1244,99;1245,03;1245,18;1245,26;1245,28;1245,30;1245,31;1245,34;1245,36;1245,35;1245,40;1245,44;1245,43;1245,94;1246,06;1246,18;1246,80;1246,80;1246,80;1246,80;1246,80;1246,80
05911;Bochum, kreisfreie Stadt;145,43;145,44;145,44;145,43;145,43;145,43;145,45;145,45;145,46;145,43;145,44;145,44;145,44;145,44;145,46;145,66;145,66;145,66;145,66;145,66;145,66;145,66
05913;Dortmund, kreisfreie Stadt;280,27;280,27;280,28;280,29;280,29;280,29;280,30;280,32;280,35;280,37;280,39;280,40;280,41;280,41;280,42;280,71;280,71;280,71;280,71;280,71;280,71;280,71
05914;Hagen, kreisfreie Stadt;160,36;160,37;160,37;160,37;160,36;160,36;160,36;160,36;160,36;160,36;160,36;160,34;160,34;160,35;160,35;160,35;160,35;160,35;160,35;160,45;160,45;160,45
05915;Hamm, kreisfreie Stadt;226,26;226,26;226,26;226,26;226,26;226,26;226,25;226,25;226,24;226,24;226,24;226,24;226,24;226,24;226,25;226,25;226,26;226,43;226,43;226,43;226,43;226,43
05916;Herne, kreisfreie Stadt;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,41;51,42;51,42;51,42;51,42;51,42
05954;Ennepe-Ruhr-Kreis;408,27;408,28;408,28;408,28;408,30;408,29;408,30;408,31;408,31;408,32;408,31;408,31;408,31;408,34;408,34;408,34;408,44;408,44;408,44;408,46;409,64;409,64
05958;Hochsauerlandkreis;1958,55;1958,55;1958,57;1958,64;1958,68;1958,68;1958,71;1958,71;1958,77;1958,79;1959,20;1958,95;1958,98;1958,93;1958,78;1960,17;1960,17;1960,17;1960,17;1960,17;1960,17;1960,17
05962;Märkischer Kreis;1058,91;1058,95;1058,96;1058,95;1058,95;1058,96;1058,96;1058,97;1058,95;1058,95;1059,00;1058,98;1058,99;1059,02;1059,01;1059,01;1059,03;1061,07;1061,06;1061,06;1061,06;1061,06
05966;Olpe, Landkreis;711,14;711,14;711,14;710,69;710,70;710,70;710,70;710,71;710,81;710,81;710,81;710,80;710,79;710,79;710,80;710,80;712,14;712,14;712,14;712,14;712,14;712,14
05970;Siegen-Wittgenstein, Landkreis;1131,47;1131,47;1131,47;1131,47;1131,47;1131,50;1131,50;1131,60;1131,59;1131,59;1131,60;1131,59;1131,65;1131,64;1131,65;1131,65;1132,89;1132,89;1132,89;1132,89;1132,89;1132,89
05974;Soest, Landkreis;1327,48;1327,48;1327,49;1327,50;1327,50;1327,50;1327,51;1327,42;1327,41;1327,53;1327,50;1327,57;1327,58;1328,28;1327,64;1327,64;1327,75;1328,63;1328,64;1328,63;1328,63;1328,63
05978;Unna, Landkreis;542,64;542,64;542,66;542,60;542,62;542,62;542,62;542,62;542,68;542,69;542,69;542,70;542,69;542,70;542,71;542,71;542,71;542,71;543,21;543,21;543,21;543,21
06411;Darmstadt, kreisfreie Stadt;122,23;122,22;122,22;122,21;...;122,23;122,23;122,23;122,23;122,23;122,23;122,23;122,09;122,09;122,09;122,09;122,09;122,09;122,09;122,09;122,09;122,07
06412;Frankfurt am Main, kreisfreie Stadt;248,35;248,35;248,35;248,35;...;248,31;248,41;248,41;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31;248,31
06413;Offenbach am Main, kreisfreie Stadt;44,84;44,84;44,84;44,84;...;44,90;44,90;44,90;44,90;44,90;44,90;44,90;44,90;44,89;44,89;44,89;44,89;44,89;44,89;44,89;44,89;44,88
06414;Wiesbaden, kreisfreie Stadt;203,91;203,91;203,91;203,90;...;203,90;203,90;203,90;203,90;203,90;203,90;203,90;203,90;203,90;203,93;203,93;203,93;203,92;203,93;203,93;203,93;203,87
06431;Bergstraße, Landkreis;719,51;719,52;719,53;719,54;...;719,54;719,54;719,55;719,54;719,54;719,54;719,56;719,56;719,54;719,51;719,51;719,51;719,52;719,52;719,52;719,52;719,47
06432;Darmstadt-Dieburg, Landkreis;658,50;658,50;658,50;658,48;...;658,51;658,51;658,49;658,50;658,51;658,51;658,49;658,63;658,63;658,65;658,65;658,65;658,65;658,65;658,65;658,65;658,64
06433;Groß-Gerau, Landkreis;453,08;453,08;453,09;453,06;...;453,06;453,05;453,06;453,05;453,05;453,05;453,05;453,06;453,05;453,05;453,05;453,05;453,05;453,05;453,04;453,04;453,03
06434;Hochtaunuskreis;482,05;482,05;482,05;482,04;...;482,05;482,05;482,05;482,04;482,03;482,03;482,01;482,01;482,01;482,03;482,03;482,02;482,02;482,02;482,02;482,02;481,84
06435;Main-Kinzig-Kreis;1397,58;1397,58;1398,05;1397,51;...;1397,54;1397,55;1397,55;1397,57;1397,57;1397,50;1397,49;1397,54;1397,55;1397,56;1397,56;1397,54;1397,55;1397,56;1397,55;1397,56;1397,32
06436;Main-Taunus-Kreis;222,40;222,40;222,40;222,39;...;222,40;222,40;222,41;222,40;222,40;222,39;222,40;222,40;222,39;222,39;222,39;222,39;222,39;222,39;222,39;222,39;222,53
06437;Odenwaldkreis;623,96;623,96;623,96;623,96;...;623,96;623,97;623,96;623,97;623,97;623,97;623,96;623,96;623,98;623,98;623,98;623,98;623,98;623,98;623,98;623,98;623,97
06438;Offenbach, Landkreis;356,28;356,28;356,29;356,28;...;356,29;356,29;356,28;356,29;356,30;356,29;356,23;356,29;356,29;356,30;356,30;356,30;356,30;356,30;356,30;356,30;356,24
06439;Rheingau-Taunus-Kreis;811,48;811,47;811,31;811,44;...;811,11;811,48;811,48;811,47;811,48;811,48;811,48;811,48;811,48;811,48;811,48;811,48;811,48;811,48;811,48;811,48;811,41
06440;Wetteraukreis;1100,66;1100,67;1100,66;1100,68;...;1100,70;1100,71;1100,70;1100,71;1100,70;1100,70;1100,75;1100,71;1100,71;1100,71;1100,71;1100,73;1100,73;1100,73;1100,69;1100,69;1100,66
06531;Gießen, Landkreis;854,63;854,64;854,64;854,63;...;854,66;854,63;854,62;854,63;854,63;854,64;854,62;854,63;854,63;854,64;854,64;854,64;854,64;854,64;854,67;854,67;854,56
06532;Lahn-Dill-Kreis;1066,54;1066,53;1066,51;1066,51;...;1066,51;1066,50;1066,51;1066,51;1066,49;1066,50;1066,50;1066,50;1066,51;1066,52;1066,52;1066,52;1066,52;1066,52;1066,52;1066,53;1066,30
06533;Limburg-Weilburg, Landkreis;738,32;738,36;738,37;738,40;...;738,44;738,39;738,39;738,45;738,49;738,48;738,47;738,47;738,47;738,48;738,48;738,48;738,48;738,48;738,48;738,48;738,44
06534;Marburg-Biedenkopf, Landkreis;1262,56;1262,56;1262,56;1262,55;...;1262,56;1262,56;1262,54;1262,56;1262,56;1262,60;1262,54;1262,55;1262,55;1262,56;1262,56;1262,56;1262,55;1262,56;1262,55;1262,55;1262,37
06535;Vogelsbergkreis;1458,97;1458,97;1458,97;1458,96;...;1458,97;1458,96;1458,96;1458,96;1458,96;1459,00;1458,99;1458,99;1458,99;1458,99;1458,99;1458,99;1458,99;1458,99;1458,99;1458,99;1458,91
06611;Kassel, kreisfreie Stadt;106,77;106,77;106,77;106,77;...;106,77;106,77;106,77;106,77;106,79;106,78;106,78;106,78;106,78;106,78;106,78;106,78;106,78;106,78;106,78;106,78;106,80
06631;Fulda, Landkreis;1380,37;1380,38;1380,38;1380,38;...;1380,39;1380,36;1380,35;1380,36;1380,40;1380,40;1380,40;1380,39;1380,39;1380,39;1380,39;1380,39;1380,39;1380,39;1380,40;1380,48;1380,41
06632;Hersfeld-Rotenburg, Landkreis;1097,07;1097,09;1097,07;1097,08;...;1097,08;1097,10;1097,10;1097,10;1097,12;1097,20;1097,12;1097,12;1097,12;1097,12;1097,12;1097,13;1097,13;1097,13;1097,12;1097,11;1097,74
06633;Kassel, Landkreis;1292,75;1292,76;1292,76;1292,76;...;1292,77;1292,87;1292,88;1292,77;1292,78;1292,80;1292,78;1292,77;1292,77;1292,77;1292,77;1292,77;1292,92;1292,92;1292,92;1292,92;1293,34
06634;Schwalm-Eder-Kreis;1538,46;1538,46;1538,46;1538,46;...;1538,54;1538,55;1538,54;1538,55;1538,55;1538,60;1538,47;1538,47;1538,46;1538,49;1538,49;1538,49;1538,49;1538,49;1538,51;1538,51;1539,02
06635;Waldeck-Frankenberg, Landkreis;1848,58;1848,57;1848,57;1848,57;...;1848,58;1848,57;1848,55;1848,57;1848,58;1848,60;1848,56;1848,56;1848,57;1848,58;1848,58;1848,44;1848,45;1848,44;1848,44;1848,45;1848,70
06636;Werra-Meißner-Kreis;1024,70;1024,70;1024,70;1024,70;...;1024,55;1024,71;1024,70;1024,70;1024,70;1024,70;1024,70;1024,70;1024,69;1024,71;1024,71;1024,70;1024,70;1024,70;1024,70;1024,70;1024,83
07111;Koblenz, kreisfreie Stadt;105,08;105,08;105,02;105,02;105,02;105,01;105,01;105,00;105,02;105,02;105,02;105,02;105,04;105,04;105,04;105,05;105,08;105,12;105,13;105,13;105,16;105,25
07131;Ahrweiler, Landkreis;786,91;786,97;786,96;786,95;786,95;786,95;786,95;786,94;786,99;787,00;787,00;787,00;787,00;787,00;787,00;786,99;786,99;786,99;786,99;786,98;786,99;787,02
07132;Altenkirchen (Westerwald), Landkreis;641,96;642,03;641,97;641,94;641,94;641,96;642,02;642,04;642,03;642,03;641,98;641,98;642,00;642,00;642,00;642,00;642,00;642,00;642,00;642,01;642,01;642,38
07133;Bad Kreuznach, Landkreis;863,69;863,69;863,66;863,66;863,66;863,67;863,67;863,79;863,73;863,72;863,72;863,77;863,77;863,79;863,66;863,67;863,70;863,70;863,70;863,71;863,70;863,89
07134;Birkenfeld, Landkreis;776,58;776,59;776,59;776,61;776,61;776,61;776,61;776,62;776,61;776,61;776,61;776,61;776,63;776,62;776,62;776,62;776,57;776,55;776,55;776,57;776,57;776,83
07135;Cochem-Zell, Landkreis;719,47;719,96;719,95;719,96;719,96;720,00;720,01;719,96;719,99;720,01;720,00;719,96;719,95;719,94;719,98;719,97;719,97;719,97;719,97;692,36;692,35;692,43
07137;Mayen-Koblenz, Landkreis;817,09;817,12;817,23;817,23;817,22;817,23;817,24;817,22;817,25;817,27;817,28;817,24;817,24;817,25;817,27;817,35;817,31;817,31;817,26;817,26;817,27;817,73
07138;Neuwied, Landkreis;626,83;626,80;626,80;626,80;626,80;626,80;626,81;626,80;626,80;626,81;626,83;626,84;626,84;626,85;626,85;626,88;626,88;626,88;626,88;626,88;626,88;627,06
07140;Rhein-Hunsrück-Kreis;962,88;962,87;962,90;962,92;963,10;962,95;962,95;962,96;962,95;962,95;962,94;963,27;963,09;963,25;963,19;963,35;963,39;963,39;963,39;991,10;991,13;991,06
07141;Rhein-Lahn-Kreis;782,35;782,33;782,30;782,30;782,31;782,31;782,31;782,37;782,34;782,36;782,37;782,46;782,45;782,46;782,38;782,34;782,33;782,34;782,34;782,32;782,32;782,24
07143;Westerwaldkreis;988,77;988,78;988,72;988,75;988,78;988,75;988,77;988,79;988,73;988,68;988,68;988,75;988,75;988,81;988,73;988,77;988,96;988,96;988,97;988,98;988,98;989,04
07211;Trier, kreisfreie Stadt;117,14;117,14;117,14;117,14;117,14;117,14;117,14;117,14;117,14;117,14;117,14;117,15;117,15;117,13;117,13;117,13;117,13;117,13;117,13;117,13;117,13;117,07
07231;Bernkastel-Wittlich, Landkreis;1177,72;1177,72;1177,71;1177,70;1177,70;1177,69;1177,74;1177,68;1177,75;1177,70;1177,70;1177,73;1177,72;1177,70;1177,76;1177,77;1177,74;1167,59;1167,59;1167,60;1167,59;1167,94
07232;Eifelkreis Bitburg-Prüm;1626,05;1626,10;1626,20;1626,10;1626,12;1626,04;1626,09;1626,14;1626,19;1626,06;1626,10;1626,02;1626,09;1626,09;1626,15;1626,15;1626,15;1626,15;1626,26;1626,26;1626,29;1626,95
07233;Vulkaneifel, Landkreis;910,95;911,01;911,01;911,01;911,08;911,01;911,01;910,97;910,97;910,99;910,98;910,97;910,97;910,99;911,01;911,12;911,05;911,05;911,05;911,04;911,04;911,64
07235;Trier-Saarburg, Landkreis;1090,78;1090,78;1090,83;1090,89;1090,88;1090,89;1090,48;1090,51;1090,98;1090,97;1091,00;1091,00;1090,99;1091,28;1091,27;1091,38;1091,38;1101,49;1101,49;1101,50;1101,50;1102,23
07311;Frankenthal (Pfalz), kreisfreie Stadt;43,78;43,78;43,78;43,78;43,78;43,78;43,79;43,78;43,78;43,76;43,76;43,76;43,76;43,76;43,76;43,76;43,76;43,76;43,76;43,76;43,76;43,88
07312;Kaiserslautern, kreisfreie Stadt;139,71;139,71;139,71;139,71;139,71;139,72;139,72;139,72;139,72;139,72;139,72;139,72;139,72;139,72;139,72;139,73;139,73;139,73;139,73;139,74;139,74;139,70
07313;Landau in der Pfalz, kreisfreie Stadt;82,93;82,93;82,94;82,95;82,95;82,94;82,94;82,93;82,94;82,95;82,95;82,96;82,96;82,96;82,96;82,96;82,96;82,96;82,96;82,96;82,96;82,94
07314;Ludwigshafen am Rhein, kreisfreie Stadt;77,67;77,67;77,67;77,67;77,67;77,67;77,67;77,68;77,68;77,67;77,68;77,68;77,55;77,55;77,55;77,55;77,55;77,55;77,55;77,55;77,55;77,43
07315;Mainz, kreisfreie Stadt;97,75;97,75;97,76;97,76;97,76;97,77;97,77;97,75;97,75;97,75;97,74;97,74;97,74;97,74;97,74;97,74;97,74;97,74;97,74;97,74;97,74;97,73
07316;Neustadt an der Weinstraße, kreisfreie Stadt;117,10;117,11;117,12;117,11;117,11;117,11;117,11;117,11;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,10;117,09
07317;Pirmasens, kreisfreie Stadt;61,40;61,41;61,41;61,37;61,37;61,37;61,37;61,37;61,37;61,36;61,36;61,37;61,37;61,37;61,37;61,37;61,37;61,37;61,37;61,37;61,37;61,36
07318;Speyer, kreisfreie Stadt;42,59;42,59;42,59;42,58;42,58;42,58;42,58;42,58;42,58;42,58;42,59;42,58;42,59;42,59;42,59;42,59;42,59;42,60;42,60;42,60;42,60;42,71
07319;Worms, kreisfreie Stadt;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73;108,73
07320;Zweibrücken, kreisfreie Stadt;70,64;70,62;70,65;70,64;70,64;70,64;70,65;70,65;70,64;70,64;70,64;70,64;70,65;70,65;70,64;70,64;70,64;70,64;70,64;70,64;70,64;70,64
07331;Alzey-Worms, Landkreis;588,01;588,01;588,15;588,14;588,14;588,14;588,14;588,16;588,14;588,13;588,13;588,15;588,15;588,15;588,13;588,13;588,13;588,13;588,14;588,14;588,13;588,07
07332;Bad Dürkheim, Landkreis;594,78;594,80;594,80;594,80;594,80;594,80;594,81;594,80;594,81;594,80;594,83;594,84;594,84;594,82;594,83;594,83;594,83;594,83;594,79;594,79;594,78;594,64
07333;Donnersbergkreis;645,44;645,44;645,48;645,48;645,46;645,46;645,46;645,51;645,47;645,50;645,49;645,49;645,46;645,46;645,48;645,48;645,49;645,49;645,49;645,49;645,48;645,41
07334;Germersheim, Landkreis;463,25;463,24;463,25;463,25;463,26;463,26;463,26;463,27;463,26;463,26;463,27;463,28;463,27;463,28;463,27;463,26;463,27;463,27;463,35;463,35;463,35;463,32
07335;Kaiserslautern, Landkreis;639,81;639,81;639,82;639,85;639,85;639,93;639,86;639,87;639,87;639,85;639,85;639,86;639,85;639,86;639,89;639,90;639,88;639,88;639,88;639,88;639,88;640,00
07336;Kusel, Landkreis;573,47;573,47;573,47;573,47;573,47;573,46;573,45;573,49;573,45;573,42;573,41;573,41;573,41;573,38;573,39;573,40;573,36;573,35;573,35;573,34;573,34;573,60
07337;Südliche Weinstraße, Landkreis;639,89;639,89;639,84;639,86;639,87;639,86;639,83;639,82;639,87;639,88;639,86;639,82;639,83;639,81;639,85;639,85;639,83;639,83;639,83;639,84;639,84;639,95
07338;Rhein-Pfalz-Kreis;304,87;304,88;304,88;304,88;304,88;304,88;304,86;304,87;304,87;304,87;304,86;304,88;304,93;304,93;304,94;304,94;304,94;304,95;304,94;304,94;304,94;304,99
07339;Mainz-Bingen, Landkreis;605,84;605,85;606,06;606,07;606,08;606,09;606,08;606,13;606,10;606,10;606,00;605,78;605,80;605,80;605,73;605,72;605,72;605,73;605,73;605,74;605,74;605,36
07340;Südwestpfalz, Landkreis;953,74;953,76;953,75;953,71;953,67;953,67;953,76;953,76;953,78;953,77;953,67;953,64;953,65;953,64;953,67;953,67;953,66;953,65;953,65;953,65;953,67;953,50
08111;Stuttgart, kreisfreie Stadt;207,34;207,34;207,34;207,34;207,34;207,36;207,36;207,36;207,36;207,36;207,36;207,35;207,35;207,35;207,35;207,35;207,35;207,35;207,35;207,35;207,35;207,33
08115;Böblingen, Landkreis;617,82;617,82;617,82;617,82;617,82;617,83;617,83;617,83;617,82;617,83;617,83;617,81;617,83;617,82;617,85;617,85;617,85;617,82;617,82;617,82;617,82;617,77
08116;Esslingen, Landkreis;641,45;641,45;641,44;641,41;641,40;641,44;641,44;641,43;641,48;641,49;641,50;641,45;641,46;641,46;641,48;641,48;641,48;641,48;641,48;641,48;641,48;641,28
08117;Göppingen, Landkreis;642,34;642,32;642,32;642,32;642,33;642,33;642,34;642,35;642,35;642,36;642,36;642,36;642,36;642,36;642,36;642,37;642,37;642,36;642,36;642,36;642,36;642,34
08118;Ludwigsburg, Landkreis;687,31;687,34;687,33;686,99;687,00;686,81;686,81;686,83;686,83;686,82;686,82;686,81;686,82;686,84;686,82;686,82;686,82;686,82;686,82;686,83;686,83;686,77
08119;Rems-Murr-Kreis;858,09;858,18;858,16;858,15;858,13;858,14;858,14;858,13;858,15;858,14;858,14;858,13;858,15;858,14;858,14;858,14;858,14;858,14;858,14;858,14;858,14;858,08
08121;Heilbronn, kreisfreie Stadt;99,87;99,87;99,87;99,87;99,87;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,88;99,89
08125;Heilbronn, Landkreis;1099,70;1099,58;1099,57;1099,85;1099,86;1099,91;1099,92;1099,94;1099,93;1099,95;1100,00;1099,95;1099,93;1099,93;1099,93;1099,93;1099,93;1099,93;1099,93;1099,93;1099,93;1099,91
08126;Hohenlohekreis;776,72;776,69;776,69;776,71;776,71;776,76;776,74;776,73;776,75;776,75;776,75;776,76;776,76;776,77;776,75;776,76;776,75;776,76;776,76;776,76;776,76;776,76
08127;Schwäbisch Hall, Landkreis;1484,01;1484,08;1483,95;1483,99;1484,00;1484,03;1484,03;1484,03;1484,05;1484,06;1484,00;1483,99;1484,00;1484,00;1484,01;1484,01;1484,01;1484,00;1484,00;1484,00;1484,00;1484,07
08128;Main-Tauber-Kreis;1304,65;1304,58;1304,62;1304,57;1304,46;1304,43;1304,43;1304,43;1304,43;1304,42;1304,40;1304,39;1304,40;1304,40;1304,41;1304,41;1304,41;1304,41;1304,41;1304,41;1304,41;1304,13
08135;Heidenheim, Landkreis;627,11;627,23;627,24;627,14;627,12;627,13;627,13;627,11;627,12;627,12;627,12;627,13;627,13;627,13;627,12;627,12;627,12;627,12;627,12;627,12;627,13;627,14
08136;Ostalbkreis;1511,60;1511,49;1511,49;1511,55;1511,58;1511,57;1511,57;1511,57;1511,57;1511,57;1511,60;1511,56;1511,56;1511,56;1511,57;1511,58;1511,57;1511,57;1511,57;1511,57;1511,57;1511,37
08211;Baden-Baden, kreisfreie Stadt;140,18;140,18;140,19;140,18;140,18;140,18;140,18;140,18;140,18;140,18;140,18;140,18;140,18;140,18;140,21;140,21;140,21;140,21;140,21;140,21;140,21;140,19
08212;Karlsruhe, kreisfreie Stadt;173,47;173,47;173,46;173,49;173,49;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,46;173,42
08215;Karlsruhe, Landkreis;1084,88;1084,88;1084,90;1084,95;1084,95;1084,96;1084,96;1084,95;1084,97;1084,98;1085,00;1084,94;1084,98;1084,99;1085,00;1085,00;1084,95;1084,94;1084,94;1084,95;1084,95;1085,28
08216;Rastatt, Landkreis;738,79;738,77;738,78;738,81;738,81;738,83;738,83;738,81;738,83;738,83;738,82;738,76;738,75;738,76;738,75;738,75;738,75;738,75;738,75;738,75;738,75;738,43
08221;Heidelberg, kreisfreie Stadt;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,84;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,83;108,84;108,89
08222;Mannheim, kreisfreie Stadt;144,97;144,97;144,97;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,96;144,97
08225;Neckar-Odenwald-Kreis;1126,29;1126,28;1126,28;1126,30;1126,30;1126,32;1126,31;1126,29;1126,31;1126,31;1126,30;1126,27;1126,24;1126,24;1126,26;1126,28;1126,28;1126,25;1126,25;1126,25;1126,25;1125,94
08226;Rhein-Neckar-Kreis;1061,77;1061,77;1061,71;1061,69;1061,66;1061,71;1061,71;1061,69;1061,72;1061,72;1061,70;1061,70;1061,71;1061,71;1061,72;1061,71;1061,71;1061,71;1061,71;1061,71;1061,71;1061,55
08231;Pforzheim, kreisfreie Stadt;97,84;97,84;97,84;97,84;97,84;97,84;97,84;98,02;98,03;98,03;98,03;98,02;98,02;98,03;98,01;98,00;98,00;98,00;98,00;98,00;98,00;98,07
08235;Calw, Landkreis;797,53;797,53;797,54;797,54;797,53;797,53;797,52;797,51;797,52;797,52;797,52;797,53;797,52;797,53;797,51;797,51;797,51;797,51;797,51;797,51;797,51;797,29
08236;Enzkreis;573,91;573,91;573,90;573,90;573,91;573,88;573,88;573,73;573,69;573,69;573,69;573,70;573,68;573,68;573,68;573,68;573,68;573,68;573,69;573,69;573,69;573,60
08237;Freudenstadt, Landkreis;871,00;870,75;870,71;870,73;870,66;870,65;870,68;870,68;870,68;870,68;870,68;870,69;870,69;870,69;870,68;870,68;870,67;870,67;870,67;870,67;870,67;870,39
08311;Freiburg im Breisgau, kreisfreie Stadt;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,06;153,04
08315;Breisgau-Hochschwarzwald, Landkreis;1378,34;1378,33;1378,36;1378,37;1378,35;1378,34;1378,34;1378,35;1378,33;1378,33;1378,30;1378,34;1378,34;1378,34;1378,33;1378,33;1378,33;1378,33;1378,34;1378,33;1378,33;1378,31
08316;Emmendingen, Landkreis;679,93;679,93;679,93;679,94;679,92;679,90;679,90;679,92;679,90;679,90;679,88;679,89;679,89;679,90;679,88;679,88;679,88;679,88;679,88;679,88;679,88;679,79
08317;Ortenaukreis;1850,74;1850,75;1850,75;1850,75;1850,73;1850,73;1850,74;1860,73;1850,74;1850,74;1850,90;1860,85;1860,83;1860,83;1860,80;1860,79;1860,79;1850,85;1850,84;1850,84;1850,84;1850,34
08325;Rottweil, Landkreis;769,61;769,44;769,43;769,44;769,44;769,43;769,44;769,41;769,42;769,42;769,43;769,41;769,41;769,41;769,43;769,43;769,43;769,43;769,43;769,43;769,43;769,42
08326;Schwarzwald-Baar-Kreis;1025,14;1025,13;1025,24;1025,25;1025,23;1025,24;1025,24;1025,23;1025,24;1025,24;1025,20;1025,23;1025,23;1025,24;1025,25;1025,27;1025,26;1025,26;1025,26;1025,26;1025,26;1025,33
08327;Tuttlingen, Landkreis;734,35;734,34;734,35;734,35;734,35;734,35;734,35;734,34;734,35;734,35;734,35;734,34;734,35;734,35;734,35;734,35;734,35;734,35;734,35;734,35;734,35;734,38
08335;Konstanz, Landkreis;818,02;817,99;817,81;817,75;817,76;817,76;818,01;817,97;817,98;817,97;817,97;818,01;818,01;818,01;818,00;817,98;817,98;817,98;817,97;817,98;817,98;817,98
08336;Lörrach, Landkreis;806,82;806,83;806,83;806,83;806,83;806,81;806,81;806,83;806,81;806,81;806,81;806,82;806,77;806,77;806,77;806,77;806,77;806,77;806,77;806,77;806,76;806,71
08337;Waldshut, Landkreis;1131,19;1131,19;1131,19;1131,21;1131,18;1131,17;1131,17;1131,17;1131,17;1131,19;1131,20;1131,17;1131,15;1131,15;1131,16;1131,16;1131,15;1131,15;1131,15;1131,15;1131,16;1131,10
08415;Reutlingen, Landkreis;1094,12;1094,11;1094,15;1094,13;1094,16;1094,13;1094,14;1094,16;1094,14;1094,14;1094,10;1094,06;1094,06;1094,06;1094,04;1094,04;1092,72;1028,09;1028,09;1028,09;1028,09;1027,85
08416;Tübingen, Landkreis;519,15;519,15;519,15;519,15;519,15;519,16;519,17;519,16;519,17;519,17;519,16;519,18;519,18;519,18;519,18;519,18;519,19;519,19;519,19;519,19;519,19;519,12
08417;Zollernalbkreis;917,80;917,71;917,71;917,71;917,74;917,73;917,73;917,74;917,72;917,72;917,71;917,72;917,72;917,72;917,72;917,72;917,71;917,71;917,71;917,71;917,71;917,58
08421;Ulm, kreisfreie Stadt;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,69;118,68
08425;Alb-Donau-Kreis;1357,40;1357,34;1357,36;1357,34;1357,33;1357,32;1357,32;1357,35;1357,32;1357,31;1357,30;1357,35;1357,35;1357,34;1357,32;1357,32;1358,67;1358,67;1358,67;1358,67;1358,67;1358,55
08426;Biberach, Landkreis;1409,87;1409,83;1410,02;1409,84;1409,82;1409,84;1409,82;1409,85;1409,82;1409,82;1409,80;1409,81;1409,74;1409,74;1409,75;1409,75;1409,75;1409,75;1409,75;1409,75;1409,75;1409,53
08435;Bodenseekreis;664,67;664,71;664,72;664,72;664,72;664,78;664,77;664,76;664,78;664,78;664,79;664,78;664,79;664,79;664,78;664,79;664,79;664,80;664,80;664,81;664,81;664,79
08436;Ravensburg, Landkreis;1631,81;1631,81;1631,81;1631,81;1631,81;1631,81;1631,81;1631,82;1631,80;1631,81;1631,80;1631,83;1631,82;1631,84;1631,82;1631,83;1631,83;1631,84;1631,82;1631,82;1631,82;1632,10
